word,definition,pronunciation
Eisegesis,Faulty interpretation or explanation of text,eisejesis
Tacent,Silent,tasent
Ostent,Appearance; manifestation,ostent
Logice,In a logical manner,lojise
Crambo,Game in which rhyme must be found for given word,krambo
Yelek,Outer garment worn by Turkish women,yelek
Recidivism,Habit of relapsing into crime,resitifism
Allogeneous,Different,alojeneous
Hippomobile,Horse-drawn vehicle,hipomobile
Ephebiatrics,Branch of medicine dealing with adolescence,efebiatriks
Besom,Curler's broom,besom
Parviscient,Having little knowledge,parfissient
Ursicide,Killing or killer of a bear,ursisite
Ischiatic,Of or pertaining to the ischium or hip,iskhiatik
Khor,A dry watercourse; a ravine,khor
Congelation,Act of freezing something into a solid state,konjelaxion
Col,Depression or pass in a mountain range,kol
Uprist,Rising; uprising,uprist
Hexametromania,Mania for writing in hexameter,heksametromania
Vindictivolence,Desire to take vengeance,fintiktifolense
Zoophysiology,Study of physiology of animals,sofksioloj
Roach,Curved cut in edge of sail for preventing chafing,roaksh
Orpharion,Large lute with six to nine pairs of strings,orfarion
Ridel,Altar curtain,ritel
Jamdani,Fine Indian cotton cloth with woven flower pattern,jamtani
Widgeon,Freshwater duck,wijjeon
Asonia,Deafness to specific pitches of sound,asonia
Delphinine,"Of, like or pertaining to dolphins",telfinine
Nummamorous,Money-loving,numamorous
Xeransis,Drying up,seransis
Irredivivous,Unable to be revived,iretififous
Viscacha,Large burrowing South American rodent,fiskaksha
Quisling,One who aids the enemy; a puppet leader supported by foreign power,kuislink
Lazaretto,Hospital for lepers,lasareto
Insipience,Lack of wisdom; stupidity,insipiense
Quackle,To choke; to suffocate,kuakle
Ichthyonomy,Classification of fishes,ikshthyonom
Exility,Slenderness or smallness; refinement,eksilit
Nocent,Hurtful; guilty; harmful,nosent
Gowk,A cuckoo; a fool,kok
Mucid,Mouldy; musty,musit
Jacana,Long-toed tropical freshwater wading bird,jakana
Whitlow,Abscess around a fingernail,witlo
Electrometer,Instrument for measuring electrical potential,elektrometer
Lustring,Glossy silk,lustrink
Baisemain,Kiss on the hand,baisemain
Zonal,Of or like a zone; arranged in zones,sonal
Flapdoodle,Gross flattery; nonsense,flaptotle
Arpenteur,Land surveyor,arpenteur
Xylotypographic,Printed from wooden blocks,slotpokrafik
Etesian,Periodic; winds blowing at certain seasons,eteksian
Hypaethral,Roofless; open to the sky,hpaethral
Jaleo,Lively Spanish dance,jaleo
Representamen,The product of representation,representamen
Wimble,Instrument for boring holes; gimlet; auger,wimble
Yag,Synthetic diamond made of yttrium aluminum garnet,yak
Vagarish,"Of the eyes, tending to roam",fakariksh
Xenophobia,Fear of foreigners,senofobia
Indigo,Deep blue-violet colour; a blue-violet dye,intiko
Detersion,The act of cleaning,teterksion
Longiniquity,Remoteness,lonjinikuit
Diacoustic,"Of, like or pertaining to the refraction of sound",xiakoustik
Morioplasty,Restoration of lost parts of the body,morioplast
Withe,Elastic tool handle to save the hand from shock of blows,withe
Mabble,To wrap up,mable
Rhochrematics,Science of inventory management and the movement of products,rhokshrematiks
Vitular,"Of, like or pertaining to a calf or to calving",fitular
Nickeliferous,Bearing nickel,nikeliferous
Galabiya,North African smock-like garment,kalabiya
Entomophilous,Adapted for pollination by insects,entomofilous
Rhynchodont,Having a toothed beak,rhnkshotont
Odograph,Odometer; instrument for measuring distance travelled,otokraf
Bathophobia,Fear of falling from a high place,bathofobia
Acarine,"Of, like or pertaining to ticks or mites",akarine
Rogatory,Asking for the intervention of a foreign court in examining a witness,rokator
Phenakistoscope,Early cinematograph in which figures are viewed through a slit,fenakistoskope
Ecphasis,Explicit declaration or interpretation,ekfasis
Factive,Indicating causation,faktife
Galactic,"Of, like or pertaining to or obtained from milk",kalaktik
Xenagogue,Guide; someone who conducts strangers,senakokue
Javanais,Word alternation slang adding 'av' or 'va' to end of syllables,jafanais
Venerative,Disposed to veneration,feneratife
Beadsman,Monk or almoner who prays for benefactor,beatsman
Jemmy,Burglar's short crowbar,jem
Percutaneous,Done or applied through the skin,perkutaneous
Rimple,To wrinkle,rimple
Skintle,To separate and rotate half-dry bricks to permit drying to complete,skintle
Renography,Radiographic examination of the kidneys,renokraf
Nudation,The act of making bare,nutaxion
Requiem,Lament or mass for the dead,rekuiem
Gramary,Magic; enchantment,kramar
Pornotopia,Perfect setting for the antics of pornography,pornotopia
Emmenagogue,Drug aiding menstrual flow,emenakokue
Pantosophy,Universal knowledge; pansophy,pantosof
Orthognathism,State of having straight jaws,orthoknathism
Volitant,Flying; flitting; fluttering; moving about,folitant
Gadarene,Headlong; precipitate,katarene
Isobath,Line connecting points of equal underwater depth,isobath
Rosorial,Rodentine,rosorial
Xoanon,Primitive wooden statue overlaid with ivory and gold,soanon
Jargoon,Brilliant pale or colourless zircon,jarkon
Nuncius,Messenger,nunsius
Misoclere,One who hates the clergy,misoklere
Nebulaphobia,Fear of fog,nebulafobia
Uberous,Yielding an abundance of milk; abounding,uberous
Panpsychism,Theory that all nature has a psychic side,panpskshism
Featous,Shapely; well-made; handsome; neat,featous
Kenspeckle,Easily recognizable or distinguishable,kenspekle
Zomotherapy,Medical treatment using raw meat,somotherap
Euchology,Prayer book,euksholoj
Genethliacon,Birthday ode,jenethliakon
Snaffle,Jointed bit for horses,snafle
Stauroscope,Instrument for studying structure of crystals with polarised light,stauroskope
Scintilloscope,Instrument for measuring gamma rays emitted by a radioactive body,ssintiloskope
Olid,Rank-smelling,olit
Whelky,Knobby; rounded,welk
Gunnage,Number of guns carried on a warship,kunaje
Fulsome,"Nauseatingly affectionate, admiring or praiseful",fulsome
Kalpis,A water jar,kalpis
Virescent,Becoming green or greenish; of a greenish colour,firessent
Mnemonist,One from whose memory nothing is erased,mnemonist
Bibliophobia,Fear of books,bibliofobia
Molariform,Shaped like a molar,molariform
Wang,The cheek; a molar,wank
Crenellated,Notched; having battlements,krenelatet
Entitative,Regarded as a distinct entity without regard to context,entitatife
Ignavia,Laziness; laxity,iknafia
Strabometer,Instrument for measuring strabismus in the eyes,strabometer
Commorient,Dying together,komorient
Joist,Beam supporting boards of a floor or laths of a ceiling,joist
Infumate,Smoky; blackened,infumate
Hericide,Killing of one's lord or master,herisite
Decoct,To prepare or extract by boiling; to devise,tekokt
Clerestory,Upper storey of a church; windows near the roof of a building,klerestor
Guyot,Flat-topped underwater mountain,kuyot
Welk,To twist about,welk
Balneology,The science of the therapeutic use of baths,balneoloj
Konimeter,Instrument measuring amount of dust in air,konimeter
Diagenesis,Production of rock out of sediment,xiajenesis
Umbel,Mass of flowers springing from a single center,umbel
Insculp,"To engrave, to cut or carve from something",inskulp
Gyromancy,Divination by falling from dizziness,jromans
Enantiodromia,Process when a thing is replaced by its opposite,enanxiotromia
Epulary,"Of, like or pertaining to banquets",epular
Diaglyph,Figure etched or engraved in surface of gem or stone; intaglio,xiaklf
Isotherombrose,Line connecting points of equal ratio of summer rainfall to annual rainfall,isotherombrose
Filaceous,Composed of threads,filaseous
Immarcescible,Unfading; imperishable,imarsessible
Curiosa,Pornographic books,kuriosa
Dendriform,Shaped like a tree,tentriform
Cleidomancy,Divination using keys,kleitomans
Mercedary,Pertaining to the giving or receiving of wages,mersetar
Yellowback,Cheap sensational novel,yelobak
Mouchard,Police spy,moukshart
Nemesism,Self-directed frustration,nemesism
Eustatic,Remaining at same altitude despite geological activity,eustatik
Cist,Tomb consisting of stone chest covered with stone slabs,sist
Onomatous,Bearing the author's name,onomatous
Hypocorism,Pet-name; diminutive or abbreviated name,hpokorism
Umbraculum,Umbrella or umbrella-like structure,umbrakulum
Argand,Gas or oil lamp,arkant
Chyle,Milky fluid secreted into blood by small intestine,shle
Hyperborean,An inhabitant of the extreme north,hperborean
Textrine,"Of, like or pertaining to weaving",tekstrine
Syndetic,Connective,sntetik
Milliammeter,Instrument for recording very small electrical currents,miliameter
Criminogenic,Causing crime,kriminojenik
Mésalliance,Unsuitable marriage,mesalianse
Bastinade,"To beat with a stick or baton, especially on the feet",bastinate
Tramble,To wash tin-ore by agitation in a trough,tramble
Xenophilia,Love of foreigners,senofilia
Winterkill,To kill by exposure to cold,winterkil
Zephyr,Lightweight wool or worsted fabric; the west wind,sefr
Misotheism,Hatred of God or deities,misotheism
Rhythmometer,Instrument for measuring speed of rhythms,rhthmometer
Expurgate,To purify or revise; to censor,ekspurkate
Sphygmoscope,Instrument for making arterial pulsations visible,sfkmoskope
Diplogenesis,Doubling of ordinarily single organ or part,tiplojenesis
Lour,To look sullen or threatening,lour
Jiggermast,Aftermost mast of a four-masted ship,jijermast
Essentialism,Doctrine that things have real essences that can be discovered,esenxialism
Subsecive,Remaining over; spare,subsesife
Phenetic,"Of, like or pertaining to classification by phenotype",fenetik
Lithogenous,Rock-building,lithojenous
Interfluve,Area between two rivers that flow in the same direction,interflufe
Palatography,Recording position of tongue against hard palate during speech,palatokraf
Idiochromatic,Having unique or distinctive coloration,ixiokshromatik
Bisociation,Association of an object with two or more ideas,bisoksiaxion
Conventicle,Secret or illegal church assembly,konfentikle
Ziamet,Large ancient Turkish fiefdom,siamet
Womby,Hollow; capacious,womb
Naology,Study of church or temple architecture,naoloj
Zygosis,Conjugation,skosis
Nostopathy,Fear of returning to familiar places,nostopath
Gemmation,Budding,jemaxion
Neutrosophy,Study of the origin and nature of philosophical neutralities,neutrosof
Athenaeum,Literary or scientific association,athenaeum
Kerseymere,Twilled fine wool,kersemere
Rasophore,Lowest rank of Greek Orthodox monk,rasofore
Gorsedd,Assembly for granting awards to Welsh bards,korset
Yajna,Hindu sacrificial rite,yajna
Karst,Rough limestone country with underground drainage,karst
Hwyl,Emotional state capable of arousing intense eloquence,hl
Parousiamania,Obsession with the second coming of Christ,parouksiamania
Tyroma,Cheese-like matter,troma
Hendecagon,Eleven-sided figure,hentekakon
Bowline,Rope used to keep weather edge of a sail taut,boline
Queem,Protected from the wind,kuem
Udometer,Instrument for measuring rainfall,utometer
Lemurine,"Of, like or pertaining to lemurs",lemurine
Irisate,To render iridescent,irisate
Armisonant,Resounding with noises of battle or weapons,armisonant
Figuration,The act of giving figure or form,fikuraxion
Clinology,Study of aging or individual decline after maturity,klinoloj
Hyaloid,"Of, like or pertaining to glass",hyaloit
Katharometer,Instrument measuring changes in composition of gases,katharometer
Regrate,To buy and sell again in or near the same market,rekrate
Zanze,African musical instrument like castanets,sanze
Oratory,Small chapel for private prayer; lectern for prayer,orator
Lauds,Prayer service held at dawn following matins,lauts
Raisonneur,Person in a play or book embodying author's viewpoint,raisoneur
Beerocracy,Government by brewers or brewing interests,berokras
Naucrary,One of forty-eight local divisions of the citizens of ancient Athens,naukrar
Wearish,Tasteless; savourless,weariksh
Incept,To take into the body; ingest,insept
Cespitous,Composed of or resembling turf,sespitous
Legerity,Lightness; nimbleness,lejerit
Solleret,Armoured shoe made of scales or plates,soleret
Exergue,Reverse of coin where date is contained,ekserkue
Agonism,Competition; effort; striving,akonism
Siamang,Southeast Asian gibbon-like black ape,siamank
Embower,To place in a bower; to shelter with trees,embower
Jumbal,Thin crisp sweet cake,jumbal
Keystone,To double the wholesale price for retail,kestone
Broché,With raised pattern,brokshe
Liquifaction,The act of liquefying something,likuifakxion
Zoonosis,Disease of animals which can be transmitted to humans,sonosis
Zoopraxiscope,Device for depicting the movement of animals through rotating images,sopraksiskope
Mazarine,Rich blue or reddish-blue colour,masarine
Malgré,In spite of,malkre
Tropology,Figurative language; moral interpretation of the Bible,tropoloj
Delate,To pass on; to charge with a crime,telate
Vicenary,Based on the number twenty,fisenar
Zoomorphic,Having the form or shape of an animal,somorfik
Postament,Frame; pedestal,postament
Seron,Crate or hamper,seron
Chatoyant,With a changing lustre; iridescent,shatoyant
Tristisonous,Mournful-sounding,tristisonous
Ouzel,Blackbird; a dark-haired person,ousel
Avionics,The science of electronic devices for aircraft,afioniks
Parathesis,Apposition; compounding of words without change,parathesis
Thrombus,Blood clot,thrombus
Urbarial,Founded on a register of landed property,urbarial
Natalitial,"Of, like or pertaining to a birthday",natalixial
Taghairm,Ancient divination method of Scottish Highlands,tafairm
Brougham,One-horse closed carriage,broufam
Jack,Ship's flag flown from jack-staff at bow of vessel,jak
Triquetra,Triangular-shaped object,trikuetra
Laetificate,To cheer up,laetifikate
Presentient,Prescient; having a premonition,presentient
Estrapade,Horse's attempt to throw its rider,estrapate
Obsolagnium,Waning sexual desire due to age,obsolaknium
